,opening_hours,city,creation_date,id,street,email,phone_number,name
0,12:00-23:00,San Francisco,10/15/17 20:34,268,Bayside Village Pl,rods_1890s_ranch_house@inbox.com,0499-121761,Rods 1890s Ranch House
1,12:00-23:00,San Francisco,3/23/18 8:41,337,Leona Terrace,southern_railway@hotmail.com,0496-657871,Southern Railway
2,12:00-23:00,Unknown,7/7/17 5:10,162,Winn Way - Golden Gate National Recreation Area,associates_of_the_enginer_corps_and_company_k@gmail.com,0495-143410,Associates Of The Enginer Corps And Company K
3,12:00-23:00,Unknown,8/7/17 16:57,193,Burgoyne St,the_cleveland_bankers@yahoo.com,0496-641689,The Cleveland Bankers
4,12:00-23:00,Unknown,7/7/17 10:37,163,Carl St,the_streamliner@gmail.com,0495-160486,The Streamliner
5,12:00-23:00,Unknown,3/28/18 15:16,338,Pond St,lucullus_club@inbox.com,0496-986245,Lucullus Club
6,12:00-23:00,San Francisco,12/11/17 21:56,297,Flournoy St,club_31@inbox.com,0499-540935,Club 31
7,12:00-23:00,San Francisco,9/25/17 15:42,255,Latona St,toyo_kisen_kaisha__hong_kong_maru@hotmail.com,0498-994404,Toyo Kisen Kaisha  Hong Kong Maru
8,12:00-23:00,New York,9/16/17 10:18,245,Loomis St,veteran_corps_of_artillery_military_society_of_the_war_of_1812@outlook.com,0495-562736,Veteran Corps Of Artillery Military Society Of The War Of 1812
9,12:00-23:00,Unknown,3/7/18 23:56,332,Lake Merced Hill S St,cf_wetzel@hotmail.com,0498-319369,C.F. Wetzel
10,12:00-23:00,Unknown,8/7/17 13:00,192,Marine Dr,harrys_bar@aol.com,0494-616328,Harrys Bar
11,12:00-23:00,San Francisco,4/27/17 22:10,39,Forest Knolls Dr,long_island_business_college_hall@gmail.com,0496-359481,Long Island Business College Hall
12,12:00-23:00,San Francisco,7/7/17 17:51,164,Urbano Dr,brooklyn_democratic_club@yahoo.com,0496-931729,Brooklyn Democratic Club
13,12:00-23:00,San Francisco,10/20/17 7:41,271,Fresnel Way,seventh_masonic_district@mail.com,0496-040228,Seventh Masonic District
14,12:00-23:00,San Francisco,9/30/17 16:39,261,Codman Pl,salle_hotel@gmail.com,0498-575430,Salle Hotel
15,12:00-23:00,San Francisco,9/28/17 17:21,258,Donahue St,san_souci___beverly_wilshire_hotel@mail.com,0499-679087,San Souci   Beverly Wilshire Hotel
16,12:00-23:00,San Francisco,9/11/17 3:08,240,Moneta Way,the_pabst@yahoo.com,0497-859751,The Pabst
17,12:00-23:00,San Francisco,4/7/18 5:21,340,Quintara St,18th_club@outlook.com,0494-267745,18th Club
18,12:00-23:00,Unknown,6/15/17 5:52,132,Manor Dr,karl_ratzschs@hotmail.com,0498-457437,Karl Ratzschs
19,12:00-23:00,Unknown,10/21/17 20:50,273,Bowl Dr,nipppon_yusen_kaisha___ss_kobe_maru@aol.com,0495-365711,Nipppon Yusen Kaisha   S.S. Kobe Maru
